pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Afghanistan,519315,632308,807726,1037882,1124187,1220696,1117859,1087514,945299,736180,531834,481468
Aland Islands,39641,139867,310947,669014,830580,918014,824057,792009,390879,238171,63950,29767
Albania,298068,437787,563290,845250,990950,1032925,1085196,915453,699709,454896,370686,330215
Algeria,636946,757007,943170,1125516,1193600,1202362,1150347,1055981,927061,783556,680480,602724
American Samoa,865761,908529,728795,775163,626884,615249,656388,743952,861840,887310,834761,912746
Angola,830242,882362,841977,798890,849515,790481,811606,898219,933761,939308,902918,796214
Anguilla,731374,832682,937414,1023544,1022707,1006042,1015926,973687,917348,778879,713508,680444
Antigua and Barbuda,751682,819101,936096,1012172,1023118,1000750,1011765,946164,946190,812194,720103,697913
Argentina,1103478,950152,786052,581138,422393,374939,421471,508047,717775,832462,1026654,1109776
Armenia,400021,536081,673477,865533,924496,1057344,1035439,909160,755993,455606,415221,349855
Aruba,809284,906454,992408,999545,976577,1027915,1004500,1053654,1004389,908425,760556,746803
Australia,1011263,1046488,914800,736602,616806,537758,562168,702097,915142,1035628,1115045,1085142
Austria,180507,334565,509259,773718,680149,841283,865358,757772,484667,307641,257016,187516
Azerbaijan,322994,419125,555427,800021,883880,1074478,1036171,900818,710805,366378,352329,301999
Bahamas,585980,688625,878386,996028,1008544,982683,1048405,988806,871492,695453,599081,534414
Bahrain,648473,785053,826577,1080149,1100907,1116510,1069503,1053055,940468,803907,626958,542321
Bangladesh,632564,761046,892904,760149,784337,590486,471258,565190,610287,660091,639638,556254
Barbados,785413,888024,957067,976837,963930,944206,923034,915298,936500,828108,757010,768880
Belarus,79775,193509,397720,662436,759700,914578,831535,788881,424236,276573,88014,67164
Belgium,114784,252482,416962,719048,725321,881242,750601,688542,459101,259899,145643,111808
Belize,591036,713486,838558,946003,917675,751669,929358,955715,770748,685038,572715,566625
Benin,904980,894528,921381,984321,879481,769360,734627,629601,712348,797554,872300,894786
Bermuda,386197,405169,679495,793504,968749,1037715,937393,912122,694835,539428,424676,368122
Bhutan,607629,674547,772107,789553,777196,652342,646378,491853,593309,692987,553045,485441
Bolivarian Republic of Venezuela,761959,832191,816388,826191,751047,691671,684857,765553,882819,819075,723656,737885
Bonaire Saint Eustatius and Saba,769122,856037,963552,1010534,1013837,1013985,991385,977134,947659,837165,733547,719236
Bosnia and Herzegovina,226433,332523,527799,770848,846616,926845,988722,831635,584023,335934,315960,241044
Botswana,1122556,1131818,916107,729614,766282,668018,702418,836360,957186,1140539,1174695,1135647
Bouvet Island,827605,605367,367575,230337,105164,50798,79027,150787,321958,519895,751488,986050
Brazil,842722,766135,709770,686429,614932,631800,659808,803137,888030,911247,876132,870813
British Indian Ocean Territory,859445,836956,980987,852067,794482,735208,709218,792233,743280,815799,850724,850286
British Virgin Islands,724668,819781,944126,1033955,1009121,1018768,999938,978352,926106,780297,698416,674894
Brunei Darussalam,617196,782296,854332,893581,829385,759405,791448,746237,848908,804553,706466,737555
Bulgaria,261206,370836,486291,805841,892972,943068,1031296,865005,601856,363414,323203,256412
Burkina Faso,888130,919208,999976,1079544,999956,980354,862419,736785,845201,880703,901619,858469
Burundi,807814,859132,786115,694480,720615,724265,812812,874756,876149,738761,731844,740703
Cambodia,814853,854764,920414,938050,879850,754127,705088,727079,690345,723033,744319,731055
Cameroon,916217,864869,869932,885829,780924,692901,668870,643020,700130,687917,784543,887991
Canada,97665,228623,450476,701438,898905,879049,753055,589957,399936,219492,100644,61282
Cape Verde,700154,798115,992534,1047650,1104315,1060163,985118,891757,913789,811579,735748,744364
Cayman Islands,698836,750704,929135,1039084,1001322,884961,1054397,1039986,933437,775431,651129,631541
Central African Republic,967869,934798,925298,945157,855193,801201,791993,789580,840537,770963,882143,927186
Chad,894193,969503,1044512,1149681,1103189,1073501,989782,945537,962364,934176,901710,848172
Chile,1076172,933704,741412,568285,409949,355492,362580,474376,678149,896258,1027066,1123785
Chinese Taipei,463394,570285,627739,795561,759016,961290,844230,710223,719712,602294,533211,413604
Colombia,703800,777958,739644,694234,651058,597844,634849,700680,801701,741730,672129,716594
Comoros,753165,908998,891220,902936,745092,722076,742018,824081,950828,1025617,1019876,973706
Cook Islands,919141,954844,761162,776534,674877,605475,643317,713967,888640,903685,923606,966443
Costa Rica,746052,820594,901559,883909,740909,669487,645715,701808,687833,670776,628376,711059
Cote d'Ivoire,846539,768362,843858,852450,776455,649087,645771,585599,691190,730708,742095,843703
Croatia,225477,346042,560743,802803,888240,1017734,1021829,853023,629963,354660,309482,218752
Cuba,637572,740815,887062,1000695,987749,920784,1057224,989132,878016,725706,638213,600200
