Pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Afghanistan,522726,653387,846257,951767,1147002,1206208,1181272,1096454,963571,727701,543724,500493
Aland Islands,43398,146956,319875,678840,854148,967481,919320,711764,414706,167451,50354,23741
Albania,289291,466932,713149,774275,819121,1049647,1030949,973901,721247,558673,272696,251057
Algeria,656136,813192,922298,1096790,1148343,1192018,1154088,1067447,961120,825517,676636,595772
American Samoa,892504,752060,922938,799743,610769,644620,622984,811313,845396,876561,995032,820043
Angola,852436,884638,895357,809077,792965,829149,836148,858150,936132,916466,886329,832581
Anguilla,715602,799357,955612,1054075,981927,1020811,985554,960136,889489,830561,736516,666549
Antigua and Barbuda,725742,827855,964509,1029215,955975,1010564,970104,947455,916149,859059,751756,686209
Argentina,1065079,1019384,755796,585184,403190,356924,418341,588705,782129,891091,1088262,1166593
Armenia,388413,534873,628894,842757,993807,1036353,1054912,946353,686256,590746,428884,318936
Aruba,840935,925105,982467,1010386,964391,974738,1027017,1053694,991920,853288,814307,763269
Australia,1117145,1070032,888072,768331,632967,552148,586785,730915,926313,1073199,1178110,1200403
Austria,192879,384383,545870,691879,657076,962012,843829,707505,525900,361938,188607,160883
Azerbaijan,343598,416907,570893,765767,934789,1068481,1029344,900616,616552,529258,348698,271505
Bahamas,584063,717854,850016,966913,1003776,993881,1024906,924075,802909,728533,622530,538721
Bahrain,618355,717864,886322,959183,1066460,1100140,1076907,1050284,946260,805103,632458,546103
Bangladesh,693524,739864,852885,855110,816054,694411,592702,657565,579606,609618,611664,598601
Barbados,807555,890157,958522,991048,997323,895949,907592,901983,914785,859311,767063,744977
Belarus,100278,192856,400558,750516,719037,961112,780011,661714,467466,258566,97781,59387
Belgium,122143,289202,382752,699945,766492,929496,868215,721423,483250,248332,148917,100041
Belize,618369,774415,887553,960933,920233,892842,941305,963661,869805,723342,661886,570325
Benin,865226,922330,928831,911839,851905,759143,685058,667819,717095,696684,863025,867068
Bermuda,381756,485979,589459,928476,1011292,962396,1025671,924574,771731,591600,426767,339576
Bhutan,628483,627442,760836,812360,740616,721743,534922,680394,506375,605797,528596,517254
Bolivarian Republic of Venezuela,779824,840205,878590,834445,702840,671798,743301,776298,838592,797480,750395,700349
Bonaire Saint Eustatius and Saba,770864,866141,969612,1028524,966632,980290,979813,974426,934261,847943,769854,717546
Bosnia and Herzegovina,220741,382808,627231,694913,695326,969208,937346,870532,613851,485930,229417,194108
Botswana,1107449,999877,1015338,820824,748806,668683,726352,814602,1008391,1109988,1105282,1030663
Bouvet Island,797650,559648,464285,217982,98066,70178,92923,184543,323993,585455,690886,803986
Brazil,819011,765591,753833,687047,640902,658649,690257,787323,876891,876163,852547,828933
British Indian Ocean Territory,942851,836923,932427,845525,765670,719562,698384,777648,876716,1023088,1026385,929947
British Virgin Islands,709871,817704,948670,1053056,956247,1022584,978913,957100,884804,839627,740482,664085
Brunei Darussalam,714651,839726,875367,860532,868994,711777,791801,859471,899882,786997,730901,615220
Bulgaria,243513,418164,645137,739968,855560,952327,951465,935185,696944,492409,251802,226454
Burkina Faso,875257,936341,984440,999593,963486,940074,835682,731934,886823,820578,889568,865281
Burundi,823704,830104,861452,738561,627058,671582,769032,816415,822031,685397,739302,700124
Cambodia,756953,860559,909774,917653,818975,765901,750601,646595,612118,791689,715360,784755
Cameroon,842470,874128,859554,823663,764650,689123,649065,657062,717044,668772,760077,829994
Canada,97142,228354,449287,691547,849486,840041,778120,585073,378412,209054,103533,66511
Cape Verde,753024,857462,1035659,1052636,1069273,1053521,984080,953151,906872,903043,805470,732873
Cayman Islands,669543,821030,928066,1019372,988795,1076874,1035357,991959,909021,741998,714091,655831
Central African Republic,919334,926572,960955,913587,842394,733385,751482,745417,788111,725582,859462,900264
Chad,872651,938941,1056786,1115891,1082823,1016510,979956,884742,959218,875611,898120,859209
Chile,1045659,935227,779779,560047,407482,344992,374227,526481,694143,896092,1035586,1095268
Chinese Taipei,444779,560881,636342,819762,664020,731503,826639,739292,751124,693748,533904,434172
