Pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Afghanistan,498474,699831,805780,971292,1146272,1226774,1167293,1085245,955430,778002,554743,487181
Aland Islands,46444,155855,365722,715637,924841,1052405,887477,756866,409669,167202,62951,16260
Albania,338428,463685,605219,811671,962700,986417,1071743,928423,721906,487982,370655,225382
Algeria,644850,798375,946462,1054925,1150629,1178302,1148240,1084157,970714,837231,665421,590246
American Samoa,720001,663261,928915,755222,724234,592308,661493,788574,858704,852149,917909,819983
Angola,785343,777814,781633,799748,840119,812958,841612,853446,949106,976883,859141,845486
Anguilla,688631,829675,934502,1025304,1057364,1052502,990603,965968,910604,787785,684891,692580
Antigua and Barbuda,716015,818488,955466,1041770,1049926,1037330,995173,975300,912513,797854,689843,710785
Argentina,1121115,994310,805670,627965,474095,379205,416050,594342,793377,970500,1121683,1196537
Armenia,392304,514154,651833,802342,977488,1076778,994499,884799,742784,580078,385292,311011
Aruba,798716,919774,1001411,1039180,1040251,1021054,1014344,978705,958940,807025,710837,770782
Australia,1055100,989177,889660,757002,614777,562891,597479,711088,880847,1014346,1133188,1025230
Austria,221166,340869,546105,860732,773894,740248,836811,680684,543960,321009,239562,143813
Azerbaijan,338419,484644,628022,742987,947076,1062450,1011152,835272,695766,526445,291015,244758
Bahamas,594602,726067,865263,995989,921186,981720,975370,990561,832500,692546,550796,541021
Bahrain,606241,763219,884752,924465,1119716,1118360,1058082,1044519,947893,825845,662021,586623
Bangladesh,604842,749595,880045,838414,769136,598291,562937,598768,591466,611669,655741,624911
Barbados,789600,858207,968496,999447,994930,947607,952160,920648,930994,766026,717826,761580
Belarus,77004,205736,415379,684426,723261,853810,780316,645423,462908,188615,79412,54124
Belgium,116869,205486,466599,803921,916105,842058,764017,712513,518062,236669,169741,88568
Belize,611377,734486,837454,1034411,859695,802498,925187,891444,843521,686606,518592,545432
Benin,899871,980497,917604,941034,895240,783218,664124,697999,666665,848909,895613,850601
Bermuda,377860,505931,698803,861247,981466,938931,1015026,942475,755773,629928,430038,358834
Bhutan,544839,652934,746095,804930,737190,594583,419546,622985,470625,683160,602255,504921
Bolivarian Republic of Venezuela,800425,869049,879394,873708,771428,721225,736281,740491,846997,828388,679581,719303
Bonaire Saint Eustatius and Saba,737003,863533,960600,1023138,1049368,1019940,988835,958556,936482,803738,701400,726785
Bosnia and Herzegovina,274810,389666,550888,868794,822293,856689,936795,812652,648260,417880,269359,170405
Botswana,1023013,918039,861596,798033,767140,664753,721949,815309,971699,1089778,1024686,963447
Bouvet Island,760956,630411,378288,237658,118277,56210,102022,150076,315450,499371,723461,879711
Brazil,783661,747996,738851,685100,642580,643959,718523,808623,909051,913384,845145,835153
British Indian Ocean Territory,779792,884363,842039,858245,779817,720959,658460,781360,931790,966831,835861,799089
British Virgin Islands,686818,831853,912172,1010829,1042868,1055301,992090,962441,907822,771071,667961,694298
Brunei Darussalam,746849,845706,839248,873851,797823,683113,733169,854203,766241,671611,678655,691445
Bulgaria,304772,421264,547200,816294,873356,943697,1003328,875676,733822,448559,279426,178937
Burkina Faso,878807,962712,987577,1008448,994370,990292,816529,692747,824649,913431,920459,845232
Burundi,756711,796626,751998,660339,775161,710433,719680,838521,836095,799698,738502,769242
Cambodia,812409,906309,921017,909149,861852,753410,776497,725752,694580,518626,695107,677100
Cameroon,907889,936690,906246,849669,775608,721916,651718,683037,646364,730445,818728,838545
Canada,92402,222907,450587,719915,869617,855072,779461,607050,391212,210131,102113,62580
Cape Verde,781672,890681,981097,1069432,1105680,1062584,965295,952746,858077,900298,794061,680264
Cayman Islands,682393,795954,936502,1067890,987714,1019539,1022792,974675,887117,679438,569450,609555
Central African Republic,972252,987248,949587,928674,831458,789850,691373,742046,754991,834516,899764,917282
Chad,881217,976834,1059581,1118869,1092819,1064145,954415,876656,953089,950093,902164,849890
Chile,1015662,958837,741670,566850,421281,333220,389875,512518,702578,910018,1042133,1077328
Chinese Taipei,492734,572526,677481,751129,781887,915693,914564,810125,747471,604379,476747,364345
Colombia,799781,819013,830392,750592,627156,650360,665710,695260,790057,768291,675763,709169
Comoros,799514,913359,883698,872748,762992,666431,678861,850890,920946,997280,1039824,1034288
Cook Islands,836503,831890,843800,785257,690694,596927,620660,740775,835509,899771,963098,954694
Costa Rica,719782,870649,971139,867525,686879,633959,686635,646242,684652,586816,534244,658794
Cote d'Ivoire,863430,902940,810018,870849,797961,697534,605746,634402,659273,754624,769839,736746
Croatia,263721,404144,597963,890980,877920,937782,1007689,843558,667902,412021,263906,161547
Cuba,644799,750002,889046,1020953,910118,962442,957806,979455,858823,679326,571660,578658
Curacao/Netherlands Antilles,786446,901351,985398,1001431,1029871,992343,990216,954047,960226,829936,723002,759007
Cyprus,402958,529475,765826,971443,1112072,1192618,1172649,1063182,892358,683093,435609,381444
Czech Republic,146652,260103,506706,827177,782239,721612,825994,681988,516216,245901,163496,103647
Democratic People's Republic of Korea,368657,493632,718706,859674,747964,857196,738858,536257,552668,562663,378239,343938
Democratic Republic of the Congo,814184,828079,801796,799997,793363,785456,772505,784504,826676,830172,790817,785901
Denmark,67522,167011,435658,731066,897633,924508,776693,729483,446542,224391,95366,38527
Djibouti,734936,874520,912532,933748,987039,847854,794944,900543,909623,958141,842854,776400
Dominica,758392,828824,945627,1033320,1023072,1003260,976087,961779,919363,762171,706400,740985
Dominican Republic,673188,763003,846874,978211,948890,1022330,962237,964471,875607,768860,586104,634392
Ecuador,699667,725018,729411,690330,636321,622627,638102,736469,773252,770551,755319,663186
Egypt,662597,799304,954713,1128070,1187431,1213473,1177328,1112238,991873,843659,686865,622407
El Salvador,806755,923521,986259,991583,820161,788328,925366,841884,828263,706288,617406,792187
Equatorial Guinea,716731,737214,760762,715910,663528,597343,558894,643470,572439,598970,629670,650873
Eritrea,744083,833321,1011500,1044580,1020886,958846,832520,833527,938104,944270,844075,782501
Estonia,45913,140693,359995,642251,886291,871954,820641,636269,365780,179546,59811,27565
Ethiopia,868044,939553,955098,889281,861164,758595,647751,706107,839231,868681,876898,887015
Faeroe Islands,31940,120814,306579,531126,737889,774599,686689,530911,319754,137607,39186,15223
Falkland Islands (Malvinas),938779,746287,526998,321340,125191,110282,135955,255825,461450,751902,989330,958393
Fiji,975421,1000464,705578,622643,596257,537104,595156,725070,753252,858950,963354,853371
Finland,19824,100185,301678,575605,849349,907866,692606,566053,295946,97384,27990,6144
France,191955,306107,525831,784325,916421,875204,960161,810928,613643,323248,256865,138972
French Guiana,638080,655054,691838,532489,507338,603106,731982,820421,916294,901891,620202,666333
French Polynesia,1016983,952453,917062,818936,676930,562121,625408,772317,922098,992992,1006754,1018375
French Southern Territories,822236,673614,515842,336514,234966,164136,219268,329757,518032,671515,876927,844365
Gabon,710795,729375,744785,705412,685970,598130,589997,584625,622915,615530,636322,657777
Gambia,829306,933771,1054157,1060306,1087776,930994,697786,646588,666260,841081,877219,810906
Georgia,707867,902052,1206513,1684936,1833422,1905062,1862752,1665118,1334188,1132485,772018,683474
Germany,122541,216964,466522,805757,817075,802205,777386,697954,519427,240370,158884,85574
Ghana,892333,948221,847925,919251,846596,706199,613831,715988,679371,784498,835022,796901
Greece,368174,508572,666411,848242,1047107,1112572,1114955,994958,798538,570606,377013,272428
Greenland,6246,54463,258186,641237,1050538,1176096,1050927,690019,343216,82258,11570,2054
Grenada,796194,862212,964200,1017851,987114,937414,920951,871457,923437,808707,757335,772976
Guadeloupe,733837,817917,944652,1031162,1030020,1012005,985670,963473,920032,778585,695044,726078
Guam,737797,844191,978723,1029701,1004605,959518,892459,849430,821825,693253,712077,721257
Guatemala,659447,779458,876142,1031237,861775,760600,884304,833511,794956,655678,533838,615230
Guernsey,141294,237697,490389,811238,1017065,955637,923196,791161,594146,288601,186480,124778
Guinea,870862,951801,957512,944501,867761,792377,573945,546031,648658,812502,865905,802187
Guinea-Bissau,843967,934429,1029712,1023155,1026514,821226,555082,562253,638419,803277,849210,820023
Guyana,713739,740410,730751,732581,601986,577724,698682,743780,894522,865834,678230,610011
Haiti,736286,824144,922815,1014477,975532,1050846,1037113,997997,926854,806309,628777,666163
Heard Island and McDonald Islands,755852,562321,362098,211839,128765,86472,114127,226300,403213,627003,789566,840790
Honduras,645398,763051,881085,1048619,834469,781238,888846,836901,846163,649636,503958,580771
Hong Kong (China),553809,613149,667399,803852,787411,886136,920331,734049,677115,672121,591557,560467
Hungary,183191,333257,539585,871815,827084,797132,868489,798942,618888,309408,169450,120064
Iceland,17543,96526,308270,549921,753829,729228,655616,465585,282829,121439,29851,4567
India,645908,791306,893783,992373,994412,751926,659421,565791,683495,712727,675398,636363
Indonesia,755881,765453,758409,727040,686144,654785,667822,772308,753747,774858,738071,694572
Iraq,488631,629288,791626,1009690,1155571,1197800,1145569,1111869,935060,765819,517940,456655
Ireland,103649,213490,386775,671175,838843,678501,589657,551317,435899,259608,117087,84914
Islamic Republic of Iran,513105,684810,805349,942841,1129046,1180642,1095210,1048412,935054,778035,536066,481598
Isle of Man,90551,217656,457551,743725,929718,783247,691439,631020,467033,253561,113165,73560
Israel,452386,579563,764271,988898,1129447,1194533,1151216,1074098,917649,736067,522483,475558
Italy,319652,479410,607480,855698,946223,1000229,1046812,900311,693924,471037,324590,219491
Jamaica,720634,782149,928059,1039487,961794,1033101,1027573,967305,883917,691527,575303,674591
Japan,333832,480087,630430,800551,803974,749122,615236,799988,573673,490593,380947,317327
Jersey,149359,240803,494636,805257,1001524,924078,931436,788476,592378,300576,195003,126429
Jordan,506604,649247,838471,1043528,1175515,1232430,1187396,1138718,957786,785623,576191,501417
Kazakhstan,194552,348416,641080,788008,958129,1051261,996947,835367,639584,412311,236671,188172
Kenya,865135,950362,905182,811433,832132,763075,743126,782722,874559,899612,851984,917636
Kiribati,849354,813443,900407,917624,879675,866353,874505,947734,1005944,1012910,974483,944495
Korea,354275,514894,738246,912108,834409,833603,588015,636206,594779,593000,412223,373173
Kosovo,317417,423759,560871,839133,871195,912386,992922,846401,727540,451277,318183,204412
Kuwait,593799,740081,884336,1012945,1138131,1168052,1099506,1096372,953774,820593,577041,507487
Kyrgyzstan,386100,546582,774926,932317,1015464,1046294,1007316,923209,777151,572852,409560,340775
Lao People's Democratic Republic,675990,771553,856168,848974,884545,775307,773303,574724,657844,519468,622604,636711
Latvia,54787,157729,385500,643462,845835,810253,779626,644617,403866,180864,69403,38859
Lebanon,405003,528329,732399,938235,1117190,1203181,1159954,1073070,901265,699814,452572,416868
Lesotho,1080229,896817,867825,625240,644392,568156,615296,754025,922028,1008123,1011281,1051967
Liberia,776636,803482,717213,739476,648244,596560,513283,550453,548288,664851,695003,647837
Libya,626964,800492,952874,1098205,1172761,1188805,1179209,1112270,996711,830606,662724,610914
Lithuania,64504,175118,406690,675724,815858,821499,780775,657330,446314,185295,74064,46020
Luxembourg,121628,221031,458432,829604,889845,842864,812504,720254,535963,221599,193594,78299
Madagascar,816457,886383,823013,748720,687240,579549,627918,783121,899626,975904,1061196,948412
Malawi,674273,739194,784219,833877,796782,683549,693054,857205,989632,1018079,1086303,854858
Malaysia,719274,781098,835531,814374,751482,664284,696493,803564,714641,683718,625959,650929
Maldives,885141,939454,1007459,917869,751359,837581,756066,895346,838830,890147,812625,821692
Mali,810318,913427,1024790,1072475,1088046,1082877,984566,924192,951535,933373,858400,780010
Malta,423502,622609,720648,956125,1066387,1159142,1138535,1032209,783720,591737,418879,338495
Marshall Islands,767022,841223,937578,891902,831303,884220,877758,879696,869360,764684,728338,739388
Martinique,777212,840823,961487,1024923,1024905,1000390,973152,966939,920909,756755,721814,761697
Mauritania,769029,880134,1057211,1102525,1162527,1112296,1076798,1054438,990724,913329,797640,724537
Mauritius,953001,983772,790291,778530,652655,547815,555940,717795,821922,1018977,1053193,1034946
Mayotte,782553,918283,867791,898456,793496,701127,706723,860807,967544,1025255,1056551,1016307
