Pais,enero,febrero,marzo,abril,mayo,junio
Malawi,681408,665839,770512,734467,777077,626564
Malaysia,690908,709521,780722,781487,757511,736203
Maldives,906227,968706,1016410,968058,758613,861500
Mali,820873,935128,1017264,1117332,1092931,1059847
Malta,431552,577787,725590,954861,1088529,1182652
Marshall Islands,839095,881178,866292,831601,849892,836660
Martinique,775563,881236,974259,985924,978550,983380
Mauritania,732443,869951,1053885,1148197,1144623,1107005
Mauritius,972219,918486,862532,757044,695268,578425
Mayotte,870477,858486,803047,841281,805740,756509
Mexico,654419,792494,998029,1090671,1133901,1020619
Micronesia (Federated States of),797471,855893,784565,751398,809895,812028
Mongolia,305808,484102,696954,894208,1039747,1038083
Montenegro,296851,406257,703502,773488,959956,1014808
Montserrat,752170,837660,938521,1002646,1014276,1016962
Morocco,558597,688375,816775,1031348,1155003,1143994
Mozambique,819289,845676,757643,692722,690250,549591
Myanmar,681928,816149,888001,920030,705505,601935
Namibia,1097557,1014360,916351,864670,769376,675061
Nauru,910775,962298,1036239,1001173,925437,897963
Nepal,581508,713173,931877,994426,890007,779199
Netherlands,112133,214292,522174,669380,816623,880219
New Caledonia,909800,771724,830675,651477,569761,476991
New Zealand,1031759,757976,651868,465803,304811,227385
Nicaragua,691336,769588,845827,875496,736456,620452
Niger,849244,975620,1065245,1140035,1125206,1094286
Nigeria,906935,992676,1004659,916194,899401,812977
Niue,966768,755498,787382,718926,622120,589679
Norfolk Island,1037511,899238,669432,571411,436138,402430
Northern Mariana Islands,663024,782399,912180,920515,1072134,993873
Norway,26236,110890,324810,608855,715435,770718
Oman,756617,907673,1049212,1124379,1171866,1056200
Pakistan,564675,764570,940560,1102886,1169517,1112466
Palau,786837,763677,817720,770224,713452,819697
Panama,775864,855405,858958,753433,671422,595255
Papua New Guinea,701800,699104,796941,707035,709915,671750
Paraguay,1098939,1029819,841605,676868,531210,468441
People's Republic of China,425506,562431,734885,893539,913729,909167
Peru,844673,753662,720419,742061,698786,695476
Philippines,675871,732558,818525,774759,814176,828873
Plurinational State of Bolivia,936453,873826,772734,798920,704460,663319
Poland,100749,231298,517973,604446,820999,892419
Portugal,391204,507496,586427,835162,1020720,1035470
Puerto Rico,736144,787683,925182,968863,972100,1018545
Qatar,630965,825865,968735,1059092,1166425,1132779
Republic of Moldova,189818,333200,556860,674689,899129,913284
Republic of North Macedonia,329451,419355,682371,792637,984855,989388
Republic of the Congo,825116,851706,862796,752430,708155,691888
Reunion,961332,913233,865905,738043,682537,562499
Romania,227472,358087,611472,719600,913726,958941
Russian Federation,74100,180916,410834,647065,814099,866124
Rwanda,763170,741340,874929,756970,722460,733597
Saint Helena,994604,928298,806389,639215,493388,460735
Saint Kitts and Nevis,748922,818128,940337,991491,990671,1001776
Saint Lucia,780824,874669,969778,969711,975675,941850
Saint Pierre and Miquelon,145084,268832,463158,651534,883805,889069
Saint Vincent and the Grenadines,805668,852998,961418,950821,976385,900770
Saint-Barthelemy,732336,796748,944718,998221,1001773,1006084
Sao Tome and Principe,805874,853306,822484,768005,670235,769089
Saudi Arabia,690079,852345,1004562,1097282,1195623,1147696
Senegal,807207,942775,1054548,1101832,1066043,972914
Serbia,248813,376429,649010,754856,984349,1015726
Seychelles,835347,912992,936039,887881,807528,728699
Sierra Leone,837039,899912,934542,879210,703543,673329
Singapore,830273,765062,871672,812082,813581,654801
Sint Maarten (Dutch part),734200,797037,945002,999846,1003662,1010162
Slovak Republic,173387,306866,582465,619269,868146,956680
Slovenia,239095,354489,633367,706562,817116,910572
Solomon Islands,734749,744118,817383,743401,723071,653718
Somalia,963163,1044639,1070954,999546,910956,757761
South Africa,1072669,1015392,810878,656110,585669,511257
South Georgia and the South Sandwich Islands,798484,609396,372829,193848,105469,60863
South Sudan,881253,986152,987806,905415,903959,803688
Spain,395437,513650,542200,833926,1060450,1099817
Spratly Islands,721897,841260,852997,900143,873993,894712
Sri Lanka,770582,828194,881737,847906,835024,826251
State of Palestine,466610,581768,784043,1039147,1133385,1179768
Sudan,853397,972615,1087247,1131037,1135260,1050576
Suriname,634714,567538,561338,601738,584546,617826
Svalbard and Jan Mayen Islands,8.404,3618,110749,459033,835429,826295
Swaziland,834270,868947,741830,547886,544498,518094
Sweden,40007,137061,391986,634294,773237,847085
Switzerland,,,,,,
Syrian Arab Republic,,,,,,
Tajikistan,,,,,,
Thailand,,,,,,
Timor-Leste,,,,,,
Togo,,,,,,
Tokelau,,,,,,
Tonga,,,,,,
Trinidad and Tobago,,,,,,
Tunisia,,,,,,
Turkey,,,,,,
Turkmenistan,,,,,,
Turks and Caicos Islands,,,,,,
Tuvalu,,,,,,
Uganda,,,,,,
Ukraine,,,,,,
United Arab Emirates,,,,,,
United Kingdom,,,,,,
United Republic of Tanzania,,,,,,
United States,,,,,,
United States Minor Outlying Islands,,,,,,
United States Virgin Islands,,,,,,
Uruguay,,,,,,
Uzbekistan,,,,,,
Vanuatu,,,,,,
Viet Nam,,,,,,
Wallis and Futuna Islands,,,,,,
Western Sahara,,,,,,
Western Samoa,,,,,,
Yemen,,,,,,
Zambia,,,,,,
Zimbabwe,,,,,,
Mordovia,97046,213472,510416,552701,779969,943841
