Pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Afghanistan,529300,698993,830365,1011055,1095172,1217323,1195842,1115076,958957,737553,563788,503369
Aland Islands,34276,114994,364484,676895,772111,900657,975605,689128,450821,156324,42819,28189
Albania,275459,403924,660132,711989,858783,1018943,1022231,956703,643555,469934,323200,249110
Algeria,626696,794697,956322,1124920,1130156,1190166,1161597,1084655,964974,836938,647211,591042
American Samoa,795187,915736,905023,790093,709826,674953,613560,746072,907336,945483,861570,783711
Angola,860793,893548,771817,754022,821389,801433,835480,871262,943044,945406,848654,805548
Anguilla,722385,821615,940900,1005349,951430,1004487,1015482,922860,889849,820013,689414,663047
Antigua and Barbuda,741861,823890,980396,1010495,971515,1013394,1013166,931717,896175,816499,700735,687412
Argentina,1143280,912684,783458,541794,391787,371109,408478,574612,701410,918500,1068917,1135062
Armenia,389730,579500,702922,883456,925612,1014799,996186,983037,724647,501396,382548,311799
Aruba,811374,916795,1010356,1014805,991203,1003088,1020950,1025884,964520,894251,787658,752585
Australia,1056027,942398,904773,742303,592768,546236,581710,732338,906838,1078009,1106714,1111970
Austria,173891,314606,587232,703997,766916,908782,778243,615749,485881,349047,197468,146172
Azerbaijan,321932,475640,640004,825706,947003,1003335,1017571,999322,658781,404023,304381,278064
Bahamas,575408,741025,849938,973437,1003435,995725,1010444,966556,844956,734831,599420,576362
Bahrain,561356,766988,872233,1039691,1118928,1123733,1080738,1049050,951030,816892,663357,601992
Bangladesh,676795,756445,918515,983913,846154,601325,611710,548819,645047,693875,671436,587088
Barbados,774587,868506,954335,965727,988343,930475,944829,875655,874903,823702,729827,751586
Belarus,108941,183111,434578,657440,762224,806808,871497,685131,473985,297073,118924,67053
Belgium,118949,215787,517018,649989,754789,848243,747941,610975,464424,275790,166595,80418
Belize,503670,741330,872456,951087,808464,807162,928461,927097,714488,618639,557579,567738
Benin,841227,918815,925024,916249,856510,805045,738426,657806,704239,823157,831422,860801
Bermuda,372607,547221,673930,905334,1020304,1032861,977951,806426,810145,574682,404826,372948
Bhutan,574845,618975,790736,900054,757284,644639,577989,518495,606188,716897,504982,506156
Bolivarian Republic of Venezuela,769357,797488,874717,773935,771482,681300,736044,765654,831548,750324,714010,748930
Bonaire Saint Eustatius and Saba,759090,861721,973817,998631,955146,994411,1003179,947494,912362,852553,735824,706683
Bosnia and Herzegovina,211771,321792,559210,646011,792389,893876,871062,798773,498512,413304,256001,180545
Botswana,1011258,860474,793598,782224,728447,658475,695700,823003,999650,1129594,1017089,997947
Bouvet Island,868876,620842,472887,228830,110875,76836,82807,141756,328168,483821,654759,916707
