Pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
France,214497,310384,503841,817014,890568,971055,854148,783673,550705,391297,236982,150429
French Guiana,587371,593014,620845,645875,619059,603852,750747,911292,893814,859653,796537,580817
French Polynesia,940372,920841,879011,770787,672605,628366,669058,746357,898791,953593,1018175,983104
French Southern Territories,858932,674936,493181,348241,231689,187735,215123,328851,524729,643081,851419,863846
Gabon,712874,724666,763466,722238,682376,601494,561312,579660,617467,638679,642998,650087
Gambia,844944,908296,1027048,1095150,1035965,942381,723188,685353,816768,897976,842438,814928
Georgia,745157,1039690,1385249,1694275,1723329,1737892,1887465,1729089,1455166,1059460,825511,602435
Germany,144046,239313,436063,637121,778103,840666,740094,669182,451059,264126,124559,85440
Ghana,857460,881976,896508,883212,818039,677521,666498,629376,687639,814820,796002,801454
Greece,329078,479183,705842,921467,1004387,1102635,1123058,1019045,812697,592979,371447,309211
Greenland,6095,49129,259763,651564,1027467,1244629,1112047,705319,322369,87518,11661,2001
Grenada,784261,885351,950959,999951,946798,815670,873331,862188,820224,752720,767520,700240
Guadeloupe,769850,863823,947024,956427,969672,947642,982614,954615,809090,829956,771051,711232
Guam,735960,802811,888218,955542,1052034,928101,913957,818657,812260,688305,781171,705941
Guatemala,722544,780135,823577,965003,845556,712741,821403,855402,750722,608119,662576,616422
Guernsey,160480,264000,445332,822298,847222,993311,885185,767330,500951,313633,180454,114135
Guinea,868736,900855,965691,988168,822027,738560,669514,643604,737054,837570,789533,833611
Guinea-Bissau,846668,916501,1014128,1068707,971962,827108,661297,635430,752266,805824,803281,823633
Guyana,629434,659742,699632,703757,602892,605321,656385,836693,839917,825675,749583,636387
Haiti,729493,808160,891179,920463,954175,1020915,1035838,1006944,894506,825221,618656,689501
Heard Island and McDonald Islands,825046,587033,459168,269442,134079,80720,97766,195767,412596,648014,892127,885886
Honduras,700313,804611,805406,930603,854712,784097,809008,838454,813761,559745,608011,549453
Hong Kong (China),491790,591483,592415,710657,774259,756622,792405,837967,766385,727329,495063,541475
Hungary,223715,286478,546225,682461,868603,957861,949564,848456,527393,380664,197383,153635
Iceland,15932,83837,295955,510541,645509,684136,660674,527863,264069,112711,36809,4918
India,689900,843524,934739,1029709,999437,786263,603862,625559,713076,724692,679335,638840
Indonesia,704615,734445,742346,710473,681848,642473,668087,723690,766965,805710,688475,710803
Iraq,516797,706566,786910,984833,1146345,1204810,1159206,1098958,938796,746165,537354,478582
Ireland,108057,182157,384112,543492,793595,709375,683217,575171,408974,192074,123841,77703
Islamic Republic of Iran,538624,659938,805097,1016755,1116900,1194941,1130953,1088147,934039,769924,583234,515344
Isle of Man,101133,183585,365449,628597,887484,774673,803549,671560,426899,212264,133436,75231
Israel,509325,672643,806550,1028573,1156344,1192099,1147977,1078576,910631,709333,535005,446161
Italy,294868,407114,688721,859284,975544,1056392,1065379,958640,674851,526013,308444,255996
Jamaica,729597,820856,877199,939276,893547,930017,1040400,970582,876341,744203,607706,642172
Japan,375518,495982,656083,766293,859454,809541,799282,712342,621138,420997,372168,319399
Jersey,167701,268235,458898,823927,844280,992038,868684,755710,499932,316371,184024,115098
Jordan,555606,735421,873382,1068194,1202399,1236632,1177380,1123987,968388,785692,600660,489709
Kazakhstan,214206,381865,602645,808682,967405,1002952,1017364,902058,644949,372570,223024,181563
Kenya,1021959,991485,1021663,922865,801599,814472,772247,818391,909912,925022,842846,967149
Kiribati,946247,1005637,984235,902345,854768,860423,816122,940262,1009823,1000791,964145,919780
Korea,412182,579366,736569,860371,956353,938189,684649,696611,697175,489882,445807,368754
Kosovo,301232,407124,611168,810965,856047,1012401,995580,950572,642268,492912,264913,227559
Kuwait,603061,755219,843134,974260,1121335,1177705,1118007,1079824,960939,804076,608103,574973
Kyrgyzstan,399467,547173,765862,932640,1089276,1054224,1034133,959268,781937,582553,420944,326828
Lao People's Democratic Republic,554708,766407,820907,827198,747802,691435,546733,627748,654305,586903,573029,539423
Latvia,64054,153487,327101,588229,892304,837602,741331,628334,331117,169958,71885,42632
Lebanon,465818,658957,728114,984126,1133254,1202176,1172310,1090667,899721,662162,478593,417049
Lesotho,1004200,795697,925565,710644,581443,553253,598090,734428,912711,1013220,1140184,1100167
Liberia,699527,705068,749127,754748,646845,558803,567793,553771,548691,660276,647346,691865
Libya,665225,822172,951210,1075872,1146749,1163359,1190449,1113644,1006792,828077,693972,567446
Lithuania,79927,156472,328558,576916,891302,803500,717230,637796,361316,177143,77584,50462
Luxembourg,165020,218728,458293,712237,846604,888066,771647,643506,457733,282642,140873,79482
Madagascar,981517,894839,786629,754014,675248,598726,644912,721791,911819,985083,956201,923249
Malawi,759525,769205,730637,737334,722478,692936,742177,815383,1016173,1053523,926338,784384
Malaysia,660020,728162,775643,783695,731953,732437,767756,728206,738959,732177,630262,620154
Maldives,897271,958840,942124,959359,760514,856897,857745,873939,831921,910955,708939,804192
Mali,829699,904956,1031259,1105019,1057209,1034299,1000232,960784,977083,959636,845452,782711
Malta,390723,574368,790776,968782,1076494,1159129,1163429,1037307,831822,585626,394905,353033
Marshall Islands,785836,878807,957384,966702,948741,869304,895114,915934,818831,820036,771220,745213
Martinique,774926,880649,963030,970041,978918,900771,964424,909659,834151,827449,787752,728977
Mauritania,786067,900051,1012500,1130526,1125512,1121688,1100775,1064897,1008677,954275,803802,745022
Mauritius,1091638,987954,880825,797265,649973,579452,617699,724191,867379,1014888,1058043,1113543
Mayotte,934979,832728,847204,845500,802202,742404,766017,842451,981506,1048075,1030858,933824
Mexico,682208,819039,946961,1087900,1089490,1026202,960847,926986,803123,761703,712773,593014
Micronesia (Federated States of),732949,818696,838221,867583,848904,812006,790761,886839,833377,764895,741352,694969
Mongolia,312120,475683,708624,900146,1046326,1051353,984561,839294,730506,505038,328458,248324
Montenegro,310267,369756,637695,771411,868484,1023525,1010596,946356,646343,507813,265042,209375
Montserrat,760610,866605,947019,968949,991576,984009,998547,968562,812510,838302,762221,713715
Morocco,559479,670550,902877,1049596,1120211,1158646,1161791,1039444,932753,758212,603605,505514
Mozambique,820627,839592,759701,694944,665203,615070,641363,744994,891008,966142,907295,854259
Myanmar,684928,841316,901986,875962,819897,612720,515749,565949,606737,613949,638296,630022
Namibia,1068612,944759,944487,838615,735616,666871,714734,856458,995468,1137334,1206092,1169443
Nauru,856908,1011461,1019678,917172,867799,881266,810293,964757,1015196,992300,957347,834473
Nepal,627067,757328,861273,975104,944630,844904,550460,543537,688832,710474,646746,590044
Netherlands,128870,191925,438686,673372,788358,820165,783689,657049,445837,252385,129575,69676
New Caledonia,986777,905660,826076,703430,566628,519448,599807,678784,875053,995595,957558,962653
New Zealand,940706,818062,597803,404561,301740,238405,257322,373955,542609,732605,905155,1042970
Nicaragua,674468,809314,829115,879905,735326,726570,676348,744857,771921,588286,680539,577450
Niger,839254,949736,1084641,1129464,1126787,1059868,1059715,1017113,1043289,990255,883372,784688
Nigeria,876898,976978,997074,945251,849815,761586,745324,676454,749493,855321,870447,844104
Niue,962839,573795,887660,784868,559878,554336,571891,634067,794922,885531,873497,858387
Norfolk Island,976020,979930,829342,656091,446940,394281,449755,587491,779048,926152,986830,1091537
Northern Mariana Islands,624727,695910,847691,943363,1058830,1001656,937422,801254,833054,724922,734733,669914
Norway,27817,107775,293598,586714,740720,736567,683632,489237,293476,130352,39665,13388
Oman,776170,861001,1001564,1147655,1111185,1063406,980291,953836,937604,922827,798450,739779
Pakistan,556757,725940,898539,1096702,1116403,1076330,933070,921646,886052,809608,646588,571005
Palau,671345,732558,809195,918237,799815,747070,705703,872234,752739,744162,738568,660280
Panama,782867,861806,868441,844863,643020,658993,603624,663061,657939,619181,593682,658861
Papua New Guinea,697474,721841,705424,581108,628338,553059,505421,647326,691389,747050,747660,675226
Paraguay,1069699,901470,787375,586884,369248,475130,583090,644371,785975,850821,969267,942828
People's Republic of China,437301,585527,721757,869449,978988,905680,897033,792250,711880,557727,456598,410080
Peru,722508,754112,717465,722742,684717,664297,734186,822942,844977,888533,836291,828269
Philippines,598634,730565,821534,920693,814603,819803,689222,778381,749267,672484,669672,585745
Plurinational State of Bolivia,921363,820038,758204,691373,594501,627244,712944,782172,879770,948818,908243,847081
Poland,131727,210117,381768,576787,795080,830770,746057,688689,377964,228524,114233,75946
Portugal,354924,467025,659573,936843,973790,1120344,1127282,1026480,840043,613666,408184,305351
Puerto Rico,726912,821077,876007,946578,990758,1011164,1000106,941025,799571,770884,667616,689554
Qatar,648321,703226,818476,1086358,1131169,1136853,1091030,1042749,959323,852532,682857,629087
Republic of Moldova,200471,305169,499211,729050,880411,915264,888946,847224,606787,330556,154460,138963
Republic of North Macedonia,308680,420432,627018,829424,874836,1011238,1021126,965486,676554,520422,277625,255715
Republic of the Congo,771034,801004,810010,762016,705062,641836,650948,656973,695630,717013,708167,719116
Reunion,1146402,970229,856284,750960,640831,592762,633864,703854,870285,1035172,1016932,1103210
Romania,240451,339991,535996,727333,826573,930259,917412,851447,605015,391402,185711,167056
Russian Federation,76050,183389,400944,641498,814940,871597,764933,577063,349777,192766,83776,48050
Rwanda,885789,807944,826058,771100,729157,768752,717824,717116,792300,807871,781680,798632
Saint Helena,995401,928188,749563,632898,488729,421022,459460,546778,666236,808557,912083,1017340
Saint Kitts and Nevis,738971,863098,946475,954943,982942,986472,984091,969821,801889,825326,739768,706196
Saint Lucia,766830,885479,954810,980126,979951,870941,944315,897436,824770,808344,774031,727048
Saint Pierre and Miquelon,196271,299389,483113,711547,849814,817183,826551,824690,547673,399605,211823,132075
Saint Vincent and the Grenadines,767652,889559,953706,983865,960218,826977,898832,878937,819088,768488,767145,719727
Saint-Barthelemy,725177,862353,937717,948208,995469,1001675,975163,973058,785050,802166,724766,696254
Sao Tome and Principe,738357,855123,816650,809504,773636,723148,772656,743906,841041,712723,753823,719100
Saudi Arabia,717889,786493,931599,1084375,1127607,1153539,1093501,1046473,985280,898787,739054,694386
Senegal,831400,904707,1037102,1101464,1054826,976119,841753,783953,872332,933859,843153,806448
Serbia,261325,381311,566585,747706,846671,996478,975345,887793,601374,443037,230160,194157
Seychelles,877603,900561,947959,885873,801072,779349,804238,829554,950318,976877,975575,804144
Sierra Leone,819875,836819,867307,847879,654562,588449,558445,571911,601925,692412,662962,772148
Singapore,685594,804711,832980,719791,715186,749167,755380,722066,787311,745818,637845,696487
Sint Maarten (Dutch part),724766,861424,932909,946082,995010,1001392,974698,973820,785803,800633,718119,697247
Slovak Republic,204905,265997,488294,610091,819441,945264,856412,785938,459899,306627,175103,119497
Slovenia,238586,296896,566597,712863,860556,932809,954268,854920,445609,420402,190795,178316
Solomon Islands,837699,728971,783093,694935,705941,537753,627392,686531,819088,840358,843393,756802
Somalia,987964,991716,1070645,992139,835822,771762,774694,847429,890625,903939,870009,958750
South Africa,1051988,915876,928709,708954,582491,523116,574458,689873,863816,1003076,1129689,1141034
South Georgia and the South Sandwich Islands,769290,586534,436076,216246,86475,64533,75590,172156,347911,535126,762028,843115
South Sudan,962337,955413,950099,919704,843719,818400,771401,800823,851293,881841,869162,906861
Spain,352866,467024,700429,947163,1015978,1102008,1108146,973674,791386,598856,413846,306313
Spratly Islands,662480,778435,925144,1004636,828127,770024,666425,817997,805585,612200,699537,558674
Sri Lanka,742945,840650,898717,984560,852083,833708,858384,826896,817382,746442,597041,689176
State of Palestine,498581,647303,757120,1010137,1143154,1188953,1153137,1078584,905386,685012,509055,420463
Sudan,866817,957066,1071238,1104331,1074840,1053423,1003236,970349,974378,954603,883678,829598
Suriname,630081,637058,670221,654731,636711,644401,712842,906558,908641,911381,834005,640919
Svalbard and Jan Mayen Islands,6.077,3745,113459,460339,868598,956921,761253,423016,141632,14977,52.43,0
Swaziland,875798,775520,825534,640472,577114,512235,561773,627650,692721,782930,857693,793628
Sweden,39222,119173,329315,586064,798286,807428,711629,543337,266715,138782,51741,18676
Switzerland,,,,,,,,,,,,
Syrian Arab Republic,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,
Thailand,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,
Togo,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,
Tonga,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,
Turkey,,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,
Uganda,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,
United Republic of Tanzania,,,,,,,,,,,,
United States,,,,,,,,,,,,
United States Minor Outlying Islands,,,,,,,,,,,,
United States Virgin Islands,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,
Viet Nam,,,,,,,,,,,,
Wallis and Futuna Islands,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,
Western Samoa,,,,,,,,,,,,
Yemen,,,,,,,,,,,,
Zambia,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,
Mordovia,104245,202771,463129,637257,806594,857668,790968,711680,453154,204777,84898,48122
