Pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Afghanistan,509818,632262,839993,1060284,1153244,1224540,1165619,1110065,954849,774295,568299,505232
Aland Islands,54309,139026,362624,658216,918662,967658,926185,661632,412070,172171,67972,26672
Albania,309383,426520,679358,839819,927265,1085216,1078400,993321,698927,562012,310546,257878
Algeria,650253,785397,950682,1087993,1134496,1135306,1160173,1085914,980056,839134,672514,578704
American Samoa,934430,793667,897955,772998,612689,634493,697912,753656,902337,865770,872373,850370
Angola,852016,834859,819674,827843,793757,788642,807577,896753,938675,891258,900935,778802
Anguilla,720361,851144,919524,955973,1005620,1015940,978632,976113,778875,782015,699152,686189
Antigua and Barbuda,748646,864769,939205,951549,981383,981813,988302,964419,797953,823201,747005,702625
Argentina,1146907,951161,760352,543077,387077,369463,407282,551988,710134,937072,1120992,1145972
Armenia,412026,592175,725244,865464,929754,1042244,1037189,995138,770830,556054,397047,340000
Aruba,777680,903091,911269,1012974,957918,987515,1023045,985415,940600,888261,752863,735796
Australia,997922,990039,894933,768844,640358,562174,589469,728916,900147,1004907,1079829,1123558
Austria,233931,330758,534136,682070,845419,904154,832002,751963,445374,373006,200960,160968
Azerbaijan,352910,506666,647546,815587,884287,963294,1044933,989735,697799,477152,333430,289997
Bahamas,593961,724496,841484,967108,1025568,980716,1019236,984084,837396,689748,592871,564787
Bahrain,614361,675619,763473,1062881,1110782,1124520,1079343,1037737,947335,829403,646990,619754
Bangladesh,690700,789180,765365,773139,790015,616328,530849,582919,562365,600400,649959,572886
Barbados,792624,879989,956546,996372,946655,861699,912710,897447,812904,779906,780146,736097
Belarus,98563,196832,353735,583957,865794,827028,744116,687824,421559,187231,82429,61866
Belgium,153161,200142,447949,666614,805178,858807,765438,615515,472516,270998,146616,79307
Belize,688196,763976,815680,950588,912644,744699,865062,857829,790038,567231,631435,572509
Benin,875800,952104,993672,934589,853344,738527,730837,649608,753188,893700,877368,841033
Bermuda,388958,494089,634937,928818,989494,977660,996604,937187,766345,558069,451958,364339
Bhutan,612243,650899,736429,798025,778586,699308,572544,543038,566011,632255,618204,515459
Bolivarian Republic of Venezuela,729243,812582,791862,845649,701188,666069,681728,826658,816235,788685,762154,736330
Bonaire Saint Eustatius and Saba,741107,881287,922295,967558,975811,972056,967145,954122,852658,838092,757450,716074
Bosnia and Herzegovina,270586,355887,588675,722251,864680,993173,1008257,888826,568027,460935,231778,200357
Botswana,823101,796203,932554,778034,714213,636933,683343,806017,986276,1068369,1147091,1059725
Bouvet Island,705542,618462,439454,222449,107912,71855,81947,155929,318429,578794,638498,721824
Brazil,787599,736938,744123,690799,646827,656246,717589,801280,876277,886869,836410,777299
British Indian Ocean Territory,892945,965998,932413,854543,796663,774669,661190,724103,804770,858955,854281,814733
British Virgin Islands,722563,831350,898829,950567,997358,1028876,985935,956727,770899,780190,676310,688206
Brunei Darussalam,724054,751536,762468,822219,786982,727939,810088,758784,769526,707132,709890,599720
Bulgaria,280482,422123,576919,802445,856037,972558,973418,920421,658288,477128,242204,239120
Burkina Faso,875201,950155,1038522,1008273,966976,901706,853836,781508,879594,964235,901896,836803
Burundi,862537,803782,781496,706212,723357,773083,763421,734935,834162,805934,725991,756163
Cambodia,719879,854681,871619,883469,723378,752575,622463,715014,726296,654612,622658,660844
Cameroon,853102,944609,914189,809162,753568,707943,674439,669061,696154,728853,772055,825648
Canada,95564,214990,441175,690588,836098,843915,838133,645890,399625,212725,103574,71399
Cape Verde,752789,896867,961157,1062933,1041320,1030109,984687,941762,983134,954790,768596,698472
Cayman Islands,702084,822338,901839,995144,1000979,964707,1057154,984118,846230,696588,615152,603948
Central African Republic,931953,999831,939786,898776,824408,794549,762058,742074,793883,835835,864170,905296
Chad,875627,983513,1074538,1097125,1080269,1016803,970633,927790,979722,979153,902858,837674
Chile,1007800,903172,761581,577336,394250,339201,389139,493139,678566,862766,1045833,1086161
Chinese Taipei,456656,517121,628550,761701,756429,751130,871949,874579,799683,622058,431318,390599
Colombia,715552,821776,719350,738282,665606,630855,626572,780932,776057,728624,691021,744246
Comoros,962484,820416,859849,808186,760359,713505,757424,809882,957059,1031311,1012429,909518
Cook Islands,957252,869978,878294,732316,673077,619587,691230,728636,895534,905020,917572,909309
Costa Rica,778590,870740,902953,865486,627830,654148,626529,695803,668048,604840,602027,657575
Cote d'Ivoire,820164,805353,842773,863867,767211,658817,652333,623007,673322,757538,717862,769966
Croatia,260103,356581,621368,773034,944283,1032156,1050696,927075,570865,462746,239853,209129
Cuba,651748,767695,847548,932785,986627,957295,1015214,973476,806040,698186,609119,584051
Curacao/Netherlands Antilles,751418,896942,887614,977772,940268,955263,981126,953718,929848,882340,771087,722467
Cyprus,441081,591901,769058,975439,1075441,1187719,1180398,1059519,891898,655829,472310,390778
Czech Republic,177502,266715,442311,580032,824152,946475,806395,742631,423129,278125,144074,112532
Democratic People's Republic of Korea,393243,547850,726476,835759,915955,938537,689813,594411,734004,506696,386472,338042
Democratic Republic of the Congo,858299,828287,834699,802099,798027,769769,759616,771732,826122,810775,783280,784328
Denmark,85756,163538,356368,648644,840027,820857,791400,654903,398109,205870,103875,55140
Djibouti,895822,788685,973343,1085609,926773,886158,864578,915373,904199,927131,864846,856763
Dominica,773198,862565,954841,961073,959312,913375,969146,930079,824741,832844,786760,720922
Dominican Republic,698339,755513,832245,831269,917338,974566,961263,930158,823841,769536,590229,656110
Ecuador,660929,723227,687353,688146,649628,602487,622532,722804,734568,720598,731445,719258
Egypt,673023,821444,981284,1104194,1186842,1211604,1185602,1106940,1005164,857929,706646,603680
El Salvador,833379,878288,959269,1003693,834098,714708,919456,879929,765589,673802,824689,781742
Equatorial Guinea,671650,748665,742286,696455,678696,582027,571952,551196,606727,596057,630988,638627
Eritrea,842934,780491,966993,1050876,981978,973345,913114,878745,915038,899768,847245,822932
Estonia,48821,143943,323905,602076,895839,864757,792515,603747,337150,153678,64213,31717
Ethiopia,996432,918097,1009778,952978,824478,787913,732014,760038,826108,842653,859993,942138
Faeroe Islands,30377,116808,296053,489093,638247,784152,748206,579295,327779,142492,54402,16501
Falkland Islands (Malvinas),969696,740560,455322,278829,159707,109637,138537,237671,480680,700133,846920,1136063
Fiji,921764,703898,786641,797634,623997,561687,589699,694917,839978,932345,864463,892079
Finland,22413,99081,305285,532616,793460,787973,686641,467187,239773,94505,28375,7883
