Pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Afghanistan,558216,646674,850358,1006969,1178276,1197065,1189781,1064153,961155,756096,541838,493688
Aland Islands,44853,131024,415140,639032,839159,919345,898402,716812,420183,207036,67857,27439
Albania,271865,382721,512502,831212,918804,1034239,1041155,917787,725365,508770,300649,298252
Algeria,651337,808726,952583,1084871,1154175,1202704,1151240,1090022,956734,830061,669044,573395
American Samoa,733627,916927,868510,787529,696861,661703,627493,766852,869871,949474,936187,895661
Angola,841859,850453,814444,869714,844822,817871,824447,900215,922851,970407,855625,792258
Anguilla,697983,830873,895139,989906,934668,933748,970743,960940,899655,791392,696868,646827
Antigua and Barbuda,712783,855502,940852,981486,929397,956192,992106,959340,918298,802413,739173,673617
Argentina,1133709,989595,765459,619671,449343,388507,419707,589816,712348,945578,1101628,1202710
Armenia,383679,527992,721931,870497,873040,1025097,921004,872421,763858,574068,360042,362050
Aruba,815296,899502,919395,1007139,977257,988487,1030276,1022507,941567,891502,786623,754003
Australia,1110749,997449,874416,760263,580365,487891,572436,738980,893993,1063925,1097029,1125417
Austria,173260,294022,481133,692576,704958,810533,932746,734274,477677,341871,186407,180680
Azerbaijan,356875,399353,663391,776977,879776,998139,928497,849839,628872,471535,332933,319733
Bahamas,600804,702897,829229,985868,951002,976375,932945,935739,839131,743072,579425,578310
Bahrain,615899,786950,900553,974839,1120980,1123274,1070471,1037262,951490,836563,626857,596612
Bangladesh,686736,783860,929181,905079,568557,686224,624795,556195,596856,543998,703817,615355
Barbados,790895,880547,969367,944604,920818,912908,964398,917620,887996,792066,795217,730913
Belarus,104971,211260,465030,631685,821042,882915,793497,655027,387135,211723,84582,70882
Belgium,112545,233694,399620,603361,632710,755900,865701,678659,468183,275308,117407,110061
Belize,553842,746036,767007,969709,896518,781653,854862,825071,689381,641986,538983,505763
Benin,873435,925462,889128,899987,882072,775774,724098,639523,724414,818120,855796,852176
Bermuda,384699,455973,665320,793165,987766,1092405,1082520,892715,696751,573913,414773,365281
Bhutan,593145,717725,797292,827232,748039,666703,510136,610565,663992,615931,624309,485554
Bolivarian Republic of Venezuela,777727,763148,848614,763774,692977,693740,738141,740479,831070,810823,731419,702396
Bonaire Saint Eustatius and Saba,750733,867283,921839,994082,922754,949557,980276,970910,909991,827543,744309,700147
Bosnia and Herzegovina,227122,300536,482703,766900,810350,870765,964062,839359,602261,433347,234924,226216
Botswana,1026322,1075847,980901,870339,754670,679262,684904,818422,977425,1124844,1096799,905266
Bouvet Island,786640,646969,423805,226622,114799,50679,76887,157014,317020,536016,675103,876057
Brazil,732126,764556,727960,687411,646735,628008,672586,774090,838352,854225,797283,782002
