pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
United Republic of Tanzania,,,,,,,,,,,,
United States,,,,,,,,,,,,
United States Minor Outlying Islands,,,,,,,,,,,,
United States Virgin Islands,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,
Viet Nam,,,,,,,,,,,,
Wallis and Futuna Islands,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,
Western Samoa,,,,,,,,,,,,
Yemen,,,,,,,,,,,,
Zambia,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,
Mordovia,113272,233979,454923,732962,878229,977236,1040426,766026,459894,231749,92503,61667
