Pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Guyana,698098,612330,721782,610490,584921,607349,675289,765703,838945,866553,769119,626017
Haiti,717927,791026,932500,955242,957852,1019059,1045036,973473,962903,674743,647340,701858
Heard Island and McDonald Islands,764212,571645,421078,223722,136978,85397,108734,222694,367547,580810,836139,880669
Honduras,663149,661582,853476,923266,938937,813577,880102,847396,818016,700856,571102,580062
Hong Kong (China),325830,502930,562764,700708,832789,785229,901335,741008,694499,601136,507867,503316
Hungary,174765,254889,482580,727944,870480,908294,887913,790308,604745,289826,211926,173374
Iceland,19209,109062,281382,581061,749125,728874,640181,516478,282158,112725,26671,3389
India,688158,800170,925492,1012114,985527,801374,571787,616280,657415,742817,721152,660549
Indonesia,764756,727909,766560,739234,703589,669695,695617,781831,770582,722544,721657,689668
Iraq,507691,662983,819826,1021639,1134384,1185479,1173884,1089727,944583,748029,571729,439911
Ireland,94999,201638,417174,613210,778056,740171,648965,561453,369068,269435,144400,77027
Islamic Republic of Iran,548797,714753,823694,999999,1110275,1169670,1108491,1091495,914716,749199,578941,494025
Isle of Man,83428,211821,437205,655464,871961,844886,776055,657526,453056,296531,140551,68218
Israel,488161,664963,803632,1046120,1121687,1195335,1151330,1052521,918408,742196,558598,440694
Italy,280749,383432,603927,829808,929292,999503,1035700,921884,676157,450272,295028,274351
Jamaica,722076,762278,905629,950980,963901,966048,1018282,916636,937963,716264,664713,679131
Japan,337978,471975,661441,715781,838727,721808,773821,792073,539123,484085,363000,314645
Jersey,136916,264364,487647,746990,859867,810075,917075,805749,558304,388294,182192,143622
Jordan,543851,716908,856923,1079549,1180606,1224305,1204203,1103340,977343,783297,603748,493812
Kazakhstan,212283,376356,525575,751064,918505,959115,920458,921782,624025,350015,230641,162734
Kenya,909566,1028513,1012161,833289,825568,782919,771306,850359,919403,970042,835829,891029
Kiribati,727759,707345,785392,779072,837582,851320,887860,946650,1009584,1028614,985386,942838
Korea,375998,537543,726608,786873,916346,810130,725005,817409,562446,442555,393679,333161
Kosovo,264814,374062,536928,833980,823551,985797,967563,821935,633057,373316,299963,275267
Kuwait,575604,753930,855999,1039318,1145034,1163872,1128573,1082170,963709,807611,617146,531781
Kyrgyzstan,382265,606504,755752,900651,934757,1054490,990556,942887,764887,557579,405207,311487
Lao People's Democratic Republic,576523,747895,871181,961870,788750,720397,682519,618383,612161,645503,575067,581450
Latvia,69346,150895,335401,587187,898004,869545,739804,582430,414048,181080,78176,38603
Lebanon,424195,629637,768906,1028642,1080887,1201481,1174406,1047574,901610,715006,537421,368276
Lesotho,1015046,1043822,879782,697114,574075,534441,563144,744129,879551,1074758,1043727,1142863
Liberia,765153,835559,733393,752933,633928,577181,545642,509264,548553,674818,668779,682147
Libya,662537,806416,960326,1109596,1126773,1188948,1182295,1101978,994021,838746,661220,579991
Lithuania,81285,163260,341276,555171,869227,874893,701987,594606,424386,174356,94386,48170
Luxembourg,116848,212695,398992,647172,729207,709024,794753,723895,559601,276242,137919,125631
Madagascar,916182,820014,782512,781048,654775,593429,634756,762872,924053,1027376,1007115,1027917
Malawi,775816,872266,799030,752327,750858,723185,695575,855726,1010651,1101066,1051200,910247
Malaysia,763017,765542,862099,867730,745235,719087,758002,806128,757782,698498,638059,638681
Maldives,852084,910933,995883,902083,752693,819148,772266,811373,915147,812373,732455,819121
Mali,741438,925808,1030413,1073064,1073172,1068423,987082,957741,964245,926496,824048,758177
Malta,422679,569067,774153,970315,1050263,1104295,1149183,1012520,768801,591619,381523,322701
Marshall Islands,786200,862145,956158,987191,893898,858548,866710,852522,843786,746569,712619,727464
Martinique,773863,872611,965690,985584,947869,970523,965805,978620,885942,820548,681432,736944
Mauritania,729517,887902,1041723,1113302,1112744,1152976,1081646,1044842,1004560,889378,736503,698906
Mauritius,1055723,899165,910202,770869,653202,580818,580263,725964,870803,1026877,1092283,1119912
Mayotte,848971,835277,894930,862634,809534,715690,793954,875973,994803,1051005,1052986,1053091
Mexico,651802,794908,923617,1050811,1080865,1020696,994812,902514,831508,782911,636186,591499
Micronesia (Federated States of),798497,890690,974508,937344,820755,821052,838667,825019,851563,794730,737940,699322
Mongolia,311427,480390,700492,881334,1007903,965053,944823,848349,662295,484091,319654,242263
Montenegro,248747,322299,497008,824756,793991,940228,956798,861197,634003,399170,288567,289467
Montserrat,739727,861254,916959,977951,955525,1005901,996396,982722,898770,824040,675825,703589
Morocco,550751,685916,894775,1045906,1070166,1195568,1124704,1042513,881413,711295,540783,474811
Mozambique,873491,919990,792784,711455,666211,619889,621447,771514,909228,1009997,967406,920478
Myanmar,687327,781030,920748,952375,817416,592129,521396,592821,594649,605427,629182,624634
Namibia,1141659,1107528,964402,842932,764367,678743,727179,854879,1018828,1151608,1170737,1179782
Nauru,737359,806142,716878,825608,869647,887380,917870,978016,1003643,1038602,1025784,983312
Nepal,572948,750711,900381,1036855,909267,728998,481098,682316,611088,686447,670039,585881
Netherlands,106017,232519,396946,671966,793049,758506,806188,694037,532300,265209,140990,88792
New Caledonia,1108291,945939,750558,750230,628738,542112,550032,673525,882638,973786,869276,982690
New Zealand,869982,830465,622816,452140,290378,233522,279594,393645,505056,761341,873900,982374
Nicaragua,689285,752947,854568,875319,844569,710807,734415,768162,728521,653699,559039,562800
Niger,839499,960613,1004983,1114185,1127367,1095360,1049437,1011139,1016945,974368,871657,794900
Nigeria,921470,981993,874898,934538,841825,755881,679249,688999,743084,833992,873528,860337
Niue,949126,847483,877708,657653,627630,594324,591194,666627,761191,914545,947957,889291
Norfolk Island,1017349,831241,822117,655541,481037,386990,439180,564010,680416,962015,981884,1105337
Northern Mariana Islands,698362,824252,916021,1036435,1035520,1037662,978122,740467,736789,812202,664397,695795
Norway,27551,115785,286269,583302,748880,761555,640303,486404,298190,160073,40881,12903
Oman,770620,892695,965842,1047131,1130958,1027224,986231,959112,950343,902223,807100,738197
Pakistan,597389,787295,836372,1035048,1138914,1095975,955987,902829,895532,793687,657723,582575
Palau,846455,923248,982201,903094,776648,759037,761982,801420,777060,690301,675980,655628
Panama,790000,839126,886035,848101,699286,647555,610772,652531,657538,634132,479663,656122
Papua New Guinea,767064,723971,713667,633588,670627,583411,592445,647234,672402,717866,758781,674395
Paraguay,960197,847695,750954,675786,420264,441088,535268,641539,811569,883141,981098,973251
People's Republic of China,430104,600721,749519,855911,917160,931816,880823,808957,697748,546557,443118,398213
Peru,874060,721238,744326,749148,718564,667982,731468,820233,870644,881500,921146,818983
Philippines,766161,775909,932216,989087,881821,780783,781051,761007,751877,661699,659807,612303
Plurinational State of Bolivia,884016,794399,792519,756133,630545,596047,702778,785030,890520,923062,927808,909086
Poland,114349,204649,364388,629857,856855,876150,749296,652634,518968,194608,131167,82002
Portugal,271895,441630,643963,784997,879635,1117172,1155636,1035414,823348,535783,360637,316117
Puerto Rico,704534,815120,899025,932034,938174,975462,977971,933095,915533,743884,590715,676933
Qatar,635103,787775,845721,1020821,1135095,1134922,1079467,1060650,967733,857509,682099,627875
Republic of Moldova,184743,272626,471785,749486,817633,854039,934871,817610,587851,282925,176025,150819
Republic of North Macedonia,299259,394236,566291,856049,856788,1006741,985726,878741,641022,386828,322451,297142
Republic of the Congo,810527,806315,768342,744675,713007,677868,688806,687127,712758,743595,715975,745748
Reunion,1087383,908811,878361,801052,660342,588979,590337,713923,906444,1004237,1035657,1113345
Romania,215338,298216,480560,737772,833305,887680,930271,791238,607869,287815,226528,198558
Russian Federation,76705,175333,397352,647335,828753,883740,772590,586285,372979,192037,88727,51461
Rwanda,783366,843721,874728,652775,741540,760815,778762,868080,862983,876259,744712,812967
Saint Helena,930236,880901,752283,616221,497580,440103,443535,546784,664553,776367,959038,969515
Saint Kitts and Nevis,722238,845550,919226,935556,949800,998157,990242,983876,892757,810679,652289,688352
Saint Lucia,774345,875462,959478,981210,943466,940333,959603,967605,877669,823595,663032,743709
Saint Pierre and Miquelon,162584,259727,511168,658640,775239,734912,808031,764736,534845,371126,176658,145957
Saint Vincent and the Grenadines,784780,886464,974181,971753,910909,918589,939772,942880,878510,833882,644020,743657
Saint-Barthelemy,708966,830025,922427,913873,953640,1005550,990332,982922,896844,802831,637989,676355
Sao Tome and Principe,773693,791982,763225,757545,731038,703026,747347,749309,790020,768637,698290,756106
Saudi Arabia,679137,832656,932963,1034183,1159211,1144483,1096010,1050873,984284,897898,739569,671971
Senegal,797167,916507,1034449,1080747,1077602,1003252,791139,749757,807331,890590,804626,790804
Serbia,227675,327318,500137,765620,835914,917781,946665,778637,625340,334532,262327,222047
Seychelles,872917,902542,920283,902240,776697,740029,804048,885195,957031,1017735,960118,897391
Sierra Leone,772366,939887,907855,887558,694476,601204,495557,506265,534406,703590,680088,768161
Singapore,761207,727115,856678,850218,727217,679981,737755,786080,784971,719868,582252,683782
Sint Maarten (Dutch part),712326,830805,919122,913603,953720,1001534,986217,980719,896839,801302,632204,674003
Slovak Republic,153995,233558,458995,668564,854638,894310,818027,729828,567794,250983,163982,138037
Slovenia,198075,240532,463156,700923,796030,859633,879503,794720,593537,306709,192881,207404
Solomon Islands,943957,725949,795387,712630,653256,659910,672725,678005,812934,900960,728733,759489
Somalia,949144,1034127,1056597,944835,849856,761942,775706,843670,916350,910920,873734,890872
South Africa,1068714,1056150,873245,706841,575789,505276,536047,716745,845620,1032899,1074257,1155969
South Georgia and the South Sandwich Islands,893743,659739,377790,222164,104307,57015,99320,193027,367634,576397,751970,905811
South Sudan,925085,995170,924361,868190,842135,805453,759649,851475,890355,885337,880758,875396
Spain,302132,454582,672495,804053,948864,1116492,1118839,1019610,784911,534201,354457,305880
Spratly Islands,804227,836777,996458,1056675,933300,671777,819861,786306,663293,560115,749524,617027
Sri Lanka,774082,850878,972163,955704,736216,808791,842465,892682,899383,869224,652049,740920
State of Palestine,460429,641719,786039,1034474,1094107,1191921,1153914,1055792,903415,731117,539565,413893
Sudan,869930,972257,1050916,1135907,1097347,1048439,959550,960242,971857,930667,882411,824329
Suriname,653019,597868,633894,597106,619305,673095,729116,842024,894602,934232,852444,656907
Svalbard and Jan Mayen Islands,4.891,3228,109548,461950,690378,912017,673216,454912,155087,13361,60.08,0
Swaziland,864673,824460,765711,658691,546949,497225,530420,726993,680848,748551,655130,849607
Sweden,35792,132039,305924,550020,778671,806842,748136,538684,343190,151658,49242,22302
Switzerland,,,,,,,,,,,,
Syrian Arab Republic,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,
Thailand,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,
Togo,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,
Tonga,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,
Turkey,,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,
Uganda,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,
United Republic of Tanzania,,,,,,,,,,,,
United States,,,,,,,,,,,,
United States Minor Outlying Islands,,,,,,,,,,,,
United States Virgin Islands,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,
Viet Nam,,,,,,,,,,,,
Wallis and Futuna Islands,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,
Western Samoa,,,,,,,,,,,,
Yemen,,,,,,,,,,,,
Zambia,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,
Mordovia,94346,199633,355571,605066,762830,902151,869229,735957,328301,232969,99136,69590
