Pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Afghanistan,538904,747151,776662,1003793,1142649,1190784,1159328,1088067,951514,763193,571631,501004
Aland Islands,40452,146491,337754,629727,905986,966261,921919,627523,451927,175761,62627,30082
Albania,284326,387164,552891,870339,871977,1023273,1038421,928451,648385,454062,308563,323781
Algeria,634126,784233,969529,1086496,1116482,1185181,1159038,1077079,955039,817750,645765,562860
American Samoa,973095,907800,853078,574965,645222,624029,654293,764406,895767,1017658,934630,873356
Angola,856237,811347,754623,816756,851309,821020,830568,879259,931331,971019,912570,838004
Anguilla,706653,819867,908814,908795,956590,1009774,988380,973544,902916,791384,625588,669395
Antigua and Barbuda,717197,845817,909586,953166,952567,1000291,988060,978386,890252,813506,664443,691825
Argentina,1088887,948094,771246,496032,347560,368264,389459,580190,757974,859464,1106231,1160182
Armenia,367803,515249,703408,871589,922725,973660,931412,956176,707630,526784,427465,332437
Aruba,830836,932075,1000558,987593,946638,984879,993958,1058963,951871,825338,667354,714274
Australia,1048840,1059105,864792,769064,585671,490555,533904,682642,809271,1033948,1140881,1043848
Austria,193997,286437,508975,686954,762844,805446,811906,719765,583217,305819,204823,184551
Azerbaijan,323275,450801,603212,800716,890600,928506,888304,991411,584367,387759,348406,295802
Bahamas,523638,669406,815059,993861,1011341,981604,1037723,931382,862415,662108,620050,570903
Bahrain,607379,776157,817879,1001723,1118413,1121503,1067889,1050463,952736,837424,657104,604243
Bangladesh,625069,722140,827842,822747,766028,678415,510941,634086,600972,618542,614401,606100
Barbados,768520,871251,955852,992121,895957,918977,949543,942445,915582,824178,662480,738192
Belarus,101781,180674,364314,592580,846383,905169,788131,699295,440476,194192,99893,60396
Belgium,118762,231563,404073,672308,755886,692359,786792,697429,545043,286124,147921,119369
Belize,612582,631169,802667,901039,964863,796945,915922,844211,791729,735224,580695,578759
Benin,897241,967626,895427,914967,846838,736359,660996,666923,731677,857004,874059,844862
Bermuda,342247,491438,690140,881338,929062,930196,1027297,941403,758439,579247,426830,346474
Bhutan,551433,603869,754355,815576,800781,623704,429795,719732,510320,630764,596729,533201
Bolivarian Republic of Venezuela,829348,812008,868722,720131,657775,692203,722051,806001,808883,796050,703460,680320
Bonaire Saint Eustatius and Saba,764303,878846,954110,939866,944909,980814,974889,999961,903135,820708,647492,694122
Bosnia and Herzegovina,224641,307660,467097,755781,810591,887972,907290,778041,618502,367460,257130,242635
Botswana,1040996,1037291,856230,779217,734907,651583,701706,842231,993356,1128478,1094245,1026274
Bouvet Island,795707,588136,384136,209556,119402,69625,77544,164897,355267,584602,626143,859722
Brazil,706542,822905,723041,722608,650314,645967,720342,791594,837773,868343,848416,792454
British Indian Ocean Territory,841489,764921,890101,853543,797785,749629,738353,809588,803972,943202,858617,879905
British Virgin Islands,726781,815310,898182,913589,942087,1001741,974252,964503,905486,774120,600592,672965
Brunei Darussalam,825529,847706,864952,889211,790053,731429,747686,814888,753851,702569,692291,688139
Bulgaria,287985,373691,528294,788143,845793,1005811,992972,869281,675106,369836,292246,252749
Burkina Faso,843220,962429,998505,991625,978199,907631,825307,805428,884079,929183,892949,838249
Burundi,766964,807726,831207,600769,745780,758252,801788,901060,890479,880844,723904,769726
Cambodia,739019,906971,950724,986424,797960,723552,726258,722458,633985,584445,668340,587156
Cameroon,911093,947111,795574,804242,741968,712943,659941,660085,701783,748042,789399,820782
Canada,93476,214807,442804,710020,831512,856019,775249,607186,384330,194664,95621,68906
Cape Verde,797398,813242,945502,1014718,1022898,1045545,970713,947286,830591,873961,675744,688345
Cayman Islands,641916,742560,901777,1019833,1019483,962304,1045264,945035,927075,754001,698061,670949
Central African Republic,976061,1011007,891959,885133,825323,800615,744985,773896,829069,850660,864641,889430
Chad,889354,986349,1004083,1108896,1083093,1035098,963647,929366,981786,954894,894852,843026
Chile,1093229,934327,786595,556269,408261,354749,373047,508365,731573,895718,1048978,1067930
Chinese Taipei,358432,480903,600892,799468,813392,843935,894624,769768,603048,572332,468495,436640
Colombia,823138,743410,767471,667317,607381,612536,618051,732844,738963,707854,676381,667377
Comoros,830972,838960,889460,815000,792892,681037,759843,852737,965881,1043895,1053560,1048669
Cook Islands,898210,822540,783626,684354,627007,591655,592451,740705,858050,1000375,903707,925836
Costa Rica,774201,853541,907192,879400,731921,649857,647650,676600,690682,585446,499663,630247
Cote d'Ivoire,846990,898875,830612,839484,751689,677567,641985,625093,656199,753822,742892,771435
Croatia,225150,304237,511472,776426,860983,954015,973659,873122,650726,386740,241354,236002
Cuba,583615,697279,847508,981028,1006682,943758,1013491,921610,877498,702356,665449,628784
Curacao/Netherlands Antilles,824707,924912,984388,945409,918706,953241,964966,1027788,928275,839567,675022,701809
Cyprus,413670,610670,815946,1011604,1069242,1191434,1157901,1061185,874519,685888,511600,363094
Czech Republic,143369,224799,426011,645424,810584,833048,808570,700330,548242,232562,154799,117989
Democratic People's Republic of Korea,390138,533177,730173,822268,881081,834212,644874,684363,618233,494331,342992,310050
Democratic Republic of the Congo,807104,846564,821200,766017,796518,794862,797495,812550,840822,859959,805084,805274
Denmark,76420,213663,359272,619797,881146,869302,779924,666912,491942,200066,110307,61024
Djibouti,752032,926307,994432,903004,958555,865930,843359,904478,906982,957522,856258,819022
Dominica,762407,865832,945959,972229,931715,985782,961607,965747,888307,817069,685460,725116
Dominican Republic,683561,765993,864357,879055,892970,952228,980408,909830,918768,683430,568563,643243
Ecuador,714411,675105,687247,673735,665578,602592,623066,748070,755337,791213,792845,709078
Egypt,673696,825703,926078,1128996,1192749,1215085,1181018,1111608,999275,846254,689043,621445
El Salvador,818254,927457,914287,942277,928808,848902,953914,871566,853287,783876,769193,748230
Equatorial Guinea,708360,728962,661721,669489,625561,593916,566789,571806,587760,607082,614638,673357
Eritrea,735915,856214,999321,988984,1001218,968279,802487,847512,916673,915754,856379,799232
Estonia,55244,130637,351665,585186,925067,858017,747253,558612,396746,176699,69744,31888
Ethiopia,858660,992745,1000920,875997,813619,758056,701426,796825,874379,865871,875225,902309
Faeroe Islands,31911,127917,275040,564596,730170,835760,625222,546525,310590,174487,49460,13552
Falkland Islands (Malvinas),990047,789257,515232,303977,121451,102248,128470,250484,496117,718518,977933,1030429
Fiji,1026779,908788,851881,631199,686145,599731,613981,601780,841049,860345,1008846,842307
Finland,21465,84095,287460,493117,760691,756611,665326,474836,287341,126334,30678,10014
France,174894,287464,507975,708048,795218,788700,929609,852563,609134,400937,215660,197170
French Guiana,630879,573444,626429,599468,663966,665663,757472,847793,921702,928905,839182,628366
French Polynesia,898303,911843,927841,743134,613078,568289,637336,766342,903098,973496,978790,994761
French Southern Territories,851539,686028,465132,338105,236189,176317,209318,320034,471917,686956,824639,870744
Gabon,706373,719728,706944,693277,658824,604111,620795,583301,621177,658830,637958,680510
Gambia,803459,923871,1036711,1071442,1061512,954401,704858,689709,707357,855729,815635,799807
Georgia,688972,1016918,1316073,1694421,1792147,1896456,1853338,1734527,1365918,1108954,871512,592521
Germany,119693,218573,389635,663360,799566,793165,786878,700950,540317,234525,148810,103089
Ghana,885170,932378,857404,870105,787768,685968,659564,658068,678361,784671,812779,812251
Greece,344044,494216,664071,955366,996880,1124870,1120254,982161,752020,519425,368071,325249
Greenland,6026,48897,255288,630957,1040386,1207430,1135286,721486,337354,81260,11128,2124
Grenada,799125,901225,979166,975713,886988,889959,924195,935411,875290,849504,615842,743494
Guadeloupe,739657,852715,914775,970488,940332,990077,975305,965474,893320,811969,674743,713622
Guam,776184,856093,969811,1044398,1017320,1008724,887282,728996,728900,740205,696311,740439
Guatemala,652961,683624,842635,923984,946207,801406,872668,828480,788898,711871,601767,628660
Guernsey,133088,255084,483315,749907,874277,831554,919568,802846,547539,380087,184569,133884
Guinea,787799,961967,997753,973004,888486,749126,604636,626762,667211,813842,793971,809299
Guinea-Bissau,803375,928819,1035410,1055432,1027440,827251,602345,647250,622426,769894,787866,792598
