Pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Maldives,810392,959777,906141,978636,786288,894530,807784,852771,899238,891764,804924,827878
Mali,836010,916678,1034541,1106425,1084839,1084147,1017491,970182,993584,923973,827764,756618
Malta,403109,598266,777484,908151,1065342,1130427,1156390,1037144,813861,527782,390884,358799
Marshall Islands,816902,913325,857612,892056,837815,898229,859080,925458,856719,788040,710852,777766
Martinique,775509,852658,943271,1002874,1025259,921220,965312,946752,975346,863677,807100,757912
Mauritania,775848,908285,1046714,1122619,1137576,1135202,1115586,1070603,1012414,922065,757071,679414
Mauritius,1079355,1039689,933045,743940,681962,586866,615170,700630,846929,971092,1112151,1092898
Mayotte,935852,805608,941030,808261,805930,759479,779089,857093,977085,1026437,1054046,1077141
Mexico,657733,813670,977502,1072800,1092020,970430,954599,922167,845051,785989,681621,633125
Micronesia (Federated States of),765479,852122,821365,860142,723336,802166,791149,886861,823504,811796,738696,722497
Mongolia,308100,476558,703829,884911,1007829,1033928,920360,811416,696103,509375,327318,253074
Montenegro,229240,420346,598185,765811,915800,1031822,1019775,906519,690756,423404,255103,194181
Montserrat,747062,844130,963513,991926,1037958,943791,996486,970336,940646,839082,776593,707542
Morocco,539246,695433,856853,1002669,1097038,1148411,1151504,1082511,912081,778818,572377,503951
Mozambique,834144,818444,786969,727048,694208,606828,617393,748831,854494,924180,1029570,1000642
Myanmar,709474,832242,954249,894936,854947,597183,585791,563532,622976,615862,633836,646578
Namibia,928216,986869,964656,874590,757208,686438,726161,847796,1015076,1156924,1234538,1244993
Nauru,979032,976552,1026796,865416,829817,845423,862338,976502,1020467,1040780,1014791,924213
Nepal,620736,758780,905519,1048908,813545,696947,566970,516669,620254,648191,628419,562952
Netherlands,105097,239087,413652,697531,765921,851640,750963,638250,494331,254910,126920,71605
New Caledonia,761258,922956,852777,587793,581918,534433,567974,680593,838503,902138,992175,893418
New Zealand,977333,869587,636898,455449,304224,217379,268031,383223,554083,698216,886973,893668
Nicaragua,660047,779070,847240,858665,847968,762975,762176,754722,759303,716701,627244,628372
Niger,864759,963856,1064354,1166046,1166353,1118285,1076396,1044013,1032323,962409,876994,809491
Nigeria,906470,978864,974914,1007523,915084,845098,732359,701508,776913,851464,863558,878331
Niue,825861,805941,849927,784013,572221,571594,596700,667253,868871,969323,1049352,990382
Norfolk Island,1052942,765107,809066,635802,483992,389851,426261,556021,725780,874174,1023955,996941
Northern Mariana Islands,741410,800802,942926,958618,1037036,948091,765071,838168,857192,728654,730176,670306
Norway,32109,112178,286659,624640,738416,772125,738303,525430,278564,117019,37368,14261
Oman,801467,890569,1049097,1100558,1112321,1085334,928256,974713,905147,891989,814251,725961
Pakistan,645720,776835,915090,1065454,1129454,1122994,957980,979983,836281,782615,669671,567110
Palau,706745,738050,848022,830797,698565,828632,765249,864262,795626,774291,770140,668488
Panama,740704,814633,870526,764172,663775,656290,651021,644946,672984,663036,589641,670972
Papua New Guinea,792358,657101,738026,631498,626164,607513,618892,675952,695442,821522,814509,687831
Paraguay,868472,989769,831159,701502,551630,419064,584463,657054,794994,827927,914812,1111837
People's Republic of China,465940,583196,717504,835740,933953,913063,883325,782971,730034,555107,462467,407334
Peru,758074,799822,730127,726608,709009,659477,736080,825036,875647,890198,828675,823269
Philippines,575781,714593,838974,895104,865915,806144,786064,805668,751961,667340,669641,606306
Plurinational State of Bolivia,842937,851980,788088,712364,686884,619365,713581,825588,902074,951003,830074,806020
